latitude,longitude,cas_pozorovani_utc,misto_pozorovani,kdo_pocitil,popis_intenzity_kategorie,strach_panika,pohyb_predmetu,poskozeni_budov,zvuk_reportovan,ems98_odhad
49.3899359,13.4710662,2025-04-24 17:33:00+00:00,Doma,Nezadáno,žádný,Ne/Nezadáno,Ne,Ne,Ano,I - Nepocítěno
49.4426173,14.3717908,2025-04-24 17:33:00+00:00,Doma,Většina,nan,Ano,Ne,Ne,Ano,Neklasifikováno
49.6004178,14.1054909,2025-04-24 17:20:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ano,Ne,Ano,IV - Značně pozorované
49.6004178,14.1054909,2025-04-24 17:20:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ano,Ne,Ano,IV - Značně pozorované
49.6888256,14.4003056,2025-04-24 17:35:00+00:00,Doma,Jen respondent,slabé zachvění,Ano,Ne,Ne,Ano,III - Slabé
49.7213172,14.4755369,2025-04-24 17:30:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.4511303,14.4439006,2025-04-24 17:33:00+00:00,Doma,Jen respondent,slabé zachvění,Ne/Nezadáno,Ano,Ne,Ano,Neklasifikováno
49.2611551,13.8952014,2025-04-24 17:30:00+00:00,Doma,Většina,silné otřsx,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.6772817,13.9643587,2025-04-24 17:35:00+00:00,Doma,Většina,žádný,Ano,Ne,Ne,Ano,Neklasifikováno
49.6598409,14.0130291,2025-04-24 17:35:00+00:00,Doma,Většina,silné otřsx,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.6613143,14.1977163,2025-04-24 17:40:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ano,Ne,Ano,IV - Značně pozorované
49.554266,14.3373718,2025-04-24 16:35:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.4453808,14.2011591,2025-04-24 17:32:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.6613143,14.1977163,2025-04-24 17:50:00+00:00,Doma,Většina,slabé zachvění,Ano,Ano,Ne,Ano,V - Silné
49.8410214,14.5741195,2025-04-24 17:30:45+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.3760852,13.6686107,2025-04-24 17:32:00+00:00,Doma,Většina,slabé zachvění,Ano,Ano,Ne,Ano,V - Silné
49.4402684,14.3675261,2025-04-24 17:35:00+00:00,Doma,Jen respondent,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.4655806,14.0692278,2025-04-24 17:35:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.2340053,14.357368,2025-04-24 17:35:00+00:00,Doma,Většina,slabé zachvění,Ano,Ne,Ne,Ano,III - Slabé
49.7784893,14.170026,2025-04-24 17:33:00+00:00,Doma,Většina,slabé zachvění,Ano,Ne,Ne,Ano,III - Slabé
49.3141018,14.162031,2025-04-24 17:00:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.4868862,14.5327385,2025-04-24 17:35:00+00:00,Doma,Většina,žádný,Ano,Ne,Ne,Ano,Neklasifikováno
49.3167847,14.2452878,2025-04-24 17:23:00+00:00,Doma,Jen respondent,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.4270058,13.8841628,2025-04-24 17:30:00+00:00,Doma,Nezadáno,žádný,Ne/Nezadáno,Ne,Ne,Ano,I - Nepocítěno
49.1673147,13.7406066,2025-04-24 17:33:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.4008801,13.697561,2025-04-24 17:33:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ano,Ano,Ano,VI - Mírně ničivé
49.4815957,14.4610894,2025-04-24 17:40:00+00:00,Venku/Nezadáno,Většina,žádný,Ano,Ne,Ne,Ano,Neklasifikováno
49.3813424,13.9384161,2025-04-24 17:15:00+00:00,Doma,Nezadáno,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ne,Neklasifikováno
49.554266,14.3373718,2025-04-24 17:00:00+00:00,Doma,Většina,slabé zachvění,Ano,Ano,Ne,Ano,V - Silné
49.4211426,14.1154812,2025-04-24 17:30:00+00:00,Venku/Nezadáno,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.2501443,13.5712757,2025-04-24 17:15:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
50.6810624,21.9449344,2025-04-24 17:33:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.303284,14.3508544,2025-04-24 17:00:30+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.4851836,14.5306443,2025-04-24 17:30:00+00:00,Doma,Jen respondent,slabé zachvění,Ano,Ne,Ne,Ano,III - Slabé
49.2991346,13.6679517,2025-04-24 17:33:00+00:00,Doma,Většina,slabé zachvění,Ano,Ano,Ne,Ano,V - Silné
49.2690531,14.0725414,2025-04-24 17:32:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.2604043,13.9103085,2025-04-24 17:33:00+00:00,Doma,Jen respondent,žádný,Ano,Ne,Nezadáno,Ano,Neklasifikováno
49.4567507,14.3338491,2025-04-24 17:33:00+00:00,Doma,Jen respondent,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.3924561,13.7746315,2025-04-24 17:30:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
